timestamp,open,high,low,close
1653782340,1790.1276150182198,undefined,undefined,undefined
1653696000,1726.926152141354,1804.6240804027198,1720.4627800897279,1791.9571943214783
1653695940,1721.922940307743,undefined,undefined,undefined
1653609600,1790.9736942679383,1818.814584289604,1711.3950813603808,1721.1592096261115
1653609540,1787.8067892739575,undefined,undefined,undefined
1653541380,1934.9291273931108,undefined,undefined,undefined
1653523200,1934.9291273931108,1941.9875507400093,1747.5587038367194,1796.249426088412
1653436800,1978.15,2016.1899999999998,1940.06,1962.08
1653436620,1976.51,undefined,undefined,undefined
1653350400,1975.13,1990.83,1912.63,1978.4900000000002
1653350340,1970.27,undefined,undefined,undefined
1653264000,2037.4700000000003,2083.61,1957.44,1971.12
1653263940,2040.51,undefined,undefined,undefined
1653177600,1974.19,2049.12,1963.9,2045.84
1653177540,1973.73,undefined,undefined,undefined
1653091200,1956.7643723038905,1986.98,1936.26,1974.1499999999999
1653004800,2017.57,2055.6611937982034,1921.1900000000003,1959.3000000000002
1652918400,1912.0211657570683,2037.88,1901.52,2019.2142415664157
1652832000,2088.96,2105.6393069374376,1910.1675458150878,1910.1675458150878
1652745600,2020.6468019422357,2118,2010.767296034915,2089.4717554992912
1652659200,2142.69,2142.69,1983.2,2017.591974816357
1652572800,2054.0498603124593,2156.38263557957,2001.7878102470409,2143.3937025674654
1652486400,2006.5767017297878,2062.7489390114824,1949.1551372065408,2054.222697049186
1652400000,1954.3690593021345,2143.927880326978,1938.491390089164,2008.9013701074534
1652313600,2079.382456801796,2182.540433086965,1722.36926954477,1956.617867764764
1652227200,2340.5115318393246,2447.9925456998008,2000.645839662516,2064.3
1652140800,2228.4723704016005,2456.4307023795145,2202.948591899543,2342.8808479452578
1652054400,2519.4049346623556,2528.2900338748827,2227.008972041396,2234.5610485233133
1651968000,2634.805943015932,2639.904528328017,2492.000116172197,2520.266177690356
1651967940,2634.993923614711,undefined,undefined,undefined
1651881600,2692.1575592026848,2701.771948742392,2593.475452535282,2636.3604005838597
1651881540,2692.888759545762,undefined,undefined,undefined
1651795200,2745.485214511312,2756.775574585838,2634.596282716803,2693.092196465028
1651795140,2747.450612167677,undefined,undefined,undefined
1651708800,2940.26872357461,2951.6260541633083,2701.151454173864,2748.5504657049273
1651708740,2939.570848270164,undefined,undefined,undefined
1651622400,2780.5579870804145,2961.915013056008,2772.8599648913264,2940.3712164626613
1651622340,2780.080070697177,undefined,undefined,undefined
1651536000,2855.0381859242407,2861.4428851711928,2758.1429753329435,2781.695546962
1651535940,2856.2046991255265,undefined,undefined,undefined
1651449600,2825.2216036453506,2880.8638630502173,2782.654842089247,2857.283630461652
1651363200,2726.8007592228396,2846.298176921404,2726.594353531348,2823.892489713571
1651276800,2817.305516292124,2840.5615413243363,2722.756240478216,2726.695069962875
1651276740,2815.5018094040465,undefined,undefined,undefined
1651190400,2935.910511336029,2945.3724608030607,2777.7886288095615,2816.59302943815
